unix,low,high,open,close,volume,date,vol_fiat
1625270400,33320.0,34953.07,33805.01,34682.16,6197.80112922,2021-07-03,214953130.41178873
1625184000,32704.73,33972.06,33510.93,33805.02,11765.65389836,2021-07-02,397738165.34713775
1625097600,32703.48,35066.54,35060.0,33516.11,13210.9509733,2021-07-01,442779686.02572984
1625011200,34033.0,36094.42,35906.17,35060.0,16700.72309396,2021-06-30,585527351.6742376
1624924800,34233.35,36675.0,34493.22,35904.28,17917.59826258,2021-06-29,643318464.9471858
1624838400,33864.99,35301.43,34708.53,34493.22,14920.2647883,2021-06-28,514647975.80108535
1624752000,32002.21,34749.0,32267.59,34709.23,14428.92978925,2021-06-27,500817042.70892984
1624665600,30173.49,32711.68,31594.62,32275.19,18299.38702942,2021-06-26,590616193.258066
1624579200,31300.0,35500.0,34654.87,31594.63,26505.19266978,2021-06-25,837421755.4804113
1624492800,32300.0,35295.67,33688.51,34654.58,16868.94084747,2021-06-24,584586060.1139169
1624406400,31708.03,34881.02,32538.9,33688.35,23124.81248294,2021-06-23,779036776.6096517
1624320000,28800.0,33352.0,31609.82,32538.37,48409.17333487,2021-06-22,1575155593.3641338
1624233600,31259.0,35741.54,35585.79,31609.82,41304.39903519,2021-06-21,1305624618.7105296
1624147200,33347.05,36139.73,35484.8,35585.78,19400.07454207,2021-06-20,690366784.6377038
1624060800,34833.26,36457.18,35840.96,35484.79,16801.08670642,2021-06-19,596183033.5491053
1623974400,35153.16,38216.22,38103.94,35841.81,23472.37724375,2021-06-18,841292485.4188112
1623888000,37365.63,39554.98,38351.0,38095.17,15970.35031651,2021-06-17,608393210.2670022
1623801600,38105.0,40499.0,40158.06,38351.0,17238.57541183,2021-06-16,661116605.6190923
1623715200,39510.98,41322.55,40537.93,40162.37,17020.70299457,2021-06-15,683591771.3280284
1623628800,38744.83,41076.03,39015.24,40539.47,21916.84415956,2021-06-14,888497246.301158
